 	0042-0087	0052-0100	0064-0115	0055-0111	0080-0120	0071-0120	0063-0102	0051-0089	0051-0078	0075-0049	0082-0043	0072-0041	0063-0041	0052-0056	0051-0064	0049-0070	0062-0055	0091-0043	0092-0052	0083-0054	0060-0070	0074-0102	0069-0110	0078-0111	0060-0083	0065-0092	0068-0080	0076-0088	0063-0181	0063-0199	0070-0193	0071-0177	0105-0066	0103-0075	0107-0083	0109-0092	0097-0094	0101-0103	0092-0110	Average	Err
13	1708.834	19843.039	8121.826	10497.837	11804.840	5818.398	24962.177	9708.901	14513.780	22674.528	2659.501	3971.501	2478.046	3453.170	6872.416	3385.322	9107.207	1542.369	4710.207	7615.856	13927.076	14886.158	4613.957	3064.488	22016.293	20091.290	11212.612	17997.982	2559.569	1680.169	13116.576	2265.033	3217.804	4317.843	5076.799	5708.736	2123.288	3542.057	2074.900	8434.420	1075.215
14	1433.758	20749.788	8069.757	11707.537	12339.475	5151.222	25111.286	8492.363	12123.306	17773.135	2563.777	3169.153	1666.494	3462.637	6504.509	3502.084	8011.901	1504.763	4613.431	6842.173	14449.877	13964.944	4864.575	4163.212	18826.364	16053.519	10002.122	14642.377	2425.976	1755.644	12707.645	2115.399	3545.738	5383.169	5490.990	5381.065	1862.150	4016.996	1840.060	7904.728	970.551
15	1531.586	21105.072	7821.505	11974.724	11936.855	5185.409	26603.952	9834.868	10946.215	20258.808	2836.486	3317.736	1478.728	4230.271	7745.241	3363.231	9905.872	1540.265	4919.801	8117.093	16248.649	11734.361	4669.971	3635.151	25768.469	20550.714	11301.762	15615.660	2177.462	1652.031	12819.410	2182.721	3969.660	4311.532	5663.241	5785.000	2223.746	3850.530	2158.001	8486.456	1101.146
16	1592.597	20611.199	8276.195	12380.499	12768.918	5315.320	24639.240	8689.071	9533.758	19965.850	2508.814	3569.406	2001.529	3498.139	6915.281	3216.226	8622.800	1561.303	5066.017	6804.304	13448.981	10173.584	5047.871	3351.397	22246.136	13604.927	9038.569	12346.049	2541.950	1815.866	12865.958	2426.502	3742.446	3938.102	5772.377	5495.461	3413.723	4211.074	2869.621	7843.258	960.298
17	1424.554	19473.028	7505.142	10391.067	12276.360	5031.830	22708.715	7247.160	10132.823	18957.327	2253.725	3191.243	1849.790	2735.239	5771.588	3616.743	7371.549	1822.441	4955.566	5272.718	11787.483	11105.317	4958.722	3276.974	17348.162	12835.189	9195.304	13063.454	2477.257	1854.787	13030.319	2310.529	3574.140	4181.357	4934.791	5606.175	2506.448	3494.721	2578.767	7284.833	880.467
18	1439.544	22289.790	8014.531	11245.484	12491.739	4914.278	23804.546	6611.015	9823.823	19662.110	2005.211	3280.919	2346.294	2848.583	5255.624	3682.487	6441.920	2593.493	6421.145	4736.242	10348.991	10004.489	4594.233	3253.569	16977.626	12677.139	8595.451	11549.224	2388.370	1870.829	12853.598	2049.128	3586.763	4444.599	6304.645	6250.735	2163.787	3602.542	1951.826	7317.342	911.310
19	1159.998	19757.308	7948.787	11793.005	13600.456	5360.816	25008.198	7251.105	9492.470	18229.403	3376.643	3162.579	2007.314	3243.050	6051.134	3584.922	7204.821	5636.943	12968.519	5401.051	11835.082	9366.240	4900.866	3379.273	18274.635	13753.773	9566.630	12743.410	2730.505	2056.228	13618.865	2237.158	3674.072	4578.455	5751.602	5757.913	2388.107	3183.617	1846.372	7791.829	913.454
20	1820.074	18986.255	7434.927	11121.621	13177.324	5488.360	24266.336	6538.170	9265.257	15802.375	3236.213	2384.689	1728.294	2685.536	5318.213	3778.737	7837.547	6761.965	14564.798	5704.003	11595.772	9545.329	4927.953	3538.638	17840.721	15712.962	10287.980	13165.753	2440.177	2294.224	13853.968	2259.511	4401.470	4414.619	5177.520	6521.340	2301.061	3599.123	2023.093	7789.792	893.183
21	1693.844	21217.627	8388.749	12049.146	12837.293	5112.827	24476.193	6635.998	8585.457	26764.368	3384.796	4735.453	2905.123	2859.891	5185.935	2957.193	7340.517	7609.281	19033.328	6249.683	10244.851	10109.417	4571.354	3295.646	15626.968	14646.585	9171.110	11668.880	2444.911	1764.585	13330.903	2044.131	3725.616	5497.564	6640.206	7562.208	1794.039	3327.203	1878.455	8188.906	1009.092
22	1423.765	23063.210	8228.333	11313.596	12322.118	5580.929	24836.736	7126.190	9111.414	22773.934	4055.391	3965.715	2324.992	2221.116	4611.590	3154.952	7845.173	8005.064	17506.738	6749.868	9865.110	10809.203	5168.841	2739.446	17923.296	14673.145	8813.986	13077.655	2457.797	1583.393	13471.334	2456.745	3833.700	5216.966	6441.920	6122.401	2386.529	3316.947	1747.229	8162.217	994.872
