 	0047-0077	0040-0085	0048-0088	0050-0097	0040-0094	0040-0072	0039-0067	0047-0061	0041-0055	0049-0052	0050-0044	0059-0043	0066-0050	0070-0042	0059-0099	0053-0106	0063-0108	0062-0117	0069-0123	0057-0066	0048-0070	0057-0088	0053-0081	0058-0077	0074-0082	0075-0092	0076-0099	0072-0108	0068-0073	0039-0208	0039-0217	0041-0225	0048-0238	0052-0227	0050-0219	0039-0199	0040-0185	0051-0187	0052-0178	0044-0175	0058-0158	0067-0154	0071-0160	0080-0165	0070-0168	0080-0176	0058-0218	0062-0227	0057-0054	0063-0059	0064-0081	0064-0091	Average	Err
29	15151.766	4875.620	9258.682	7317.638	3995.432	1666.757	1934.206	9513.245	2207.704	4487.464	17768.139	18897.631	13942.591	2221.379	6913.966	3555.469	2498.821	2344.190	2572.455	34843.066	2546.157	13059.773	4748.076	17859.918	9841.968	9968.461	4763.855	5992.753	17270.847	3288.283	4656.296	3795.042	1875.036	3266.455	3979.916	2736.028	1544.472	1267.819	2360.495	2042.291	3184.143	2941.151	4069.066	8922.070	10592.772	18984.151	6022.206	31978.705	15782.914	10122.303	11485.584	7124.086	7962.295	1008.366
30	17535.140	5659.559	11496.366	8881.834	3993.328	1697.789	2013.626	8730.096	2476.468	3488.935	13445.036	16016.176	7585.876	2471.997	7527.758	3945.729	2958.508	2318.944	2645.563	30894.971	2427.554	17365.256	5485.204	17999.823	11611.024	10717.161	5022.888	5963.825	16544.500	2918.535	4257.358	3482.098	1831.645	3498.928	3591.760	2869.358	1606.272	1419.821	2075.689	2064.907	3130.232	2790.727	4470.108	9117.726	9532.706	19789.917	5495.198	29993.218	9672.873	9022.002	15000.028	9691.808	7812.382	942.960
31	18129.734	5400.525	10632.219	8700.116	3819.762	1603.643	1641.248	8709.846	2408.094	4070.906	10159.646	12426.258	7200.087	2631.625	7035.462	3743.761	2856.472	2386.266	2685.536	28955.768	2743.391	14533.504	5337.411	17417.063	11577.100	10341.627	4617.376	5901.236	16566.853	2820.707	4290.756	2920.639	1892.130	4125.606	3484.990	2762.589	1463.738	1365.121	2205.600	1795.354	3335.882	2990.328	4305.483	8508.405	11146.078	20306.144	5499.668	33109.775	9218.972	8227.807	14158.760	8678.815	7554.729	931.918
32	18686.722	4826.180	10827.349	8315.378	4119.557	1594.175	1590.757	8406.106	2565.881	3751.388	7944.053	10095.743	7680.549	2273.449	7638.472	3648.037	3221.749	2327.885	2612.428	29922.740	2192.451	15201.732	5591.711	17792.596	10857.328	10400.272	4973.711	6137.391	16433.786	3013.207	4071.169	3114.717	1861.098	3557.572	3513.918	2874.354	1395.364	1377.218	2493.299	1988.643	3364.809	3010.840	4967.137	10255.370	11328.060	20338.490	5678.494	31090.364	9119.041	8732.725	14447.247	8519.450	7533.503	922.281
33	16291.778	5548.056	10370.029	7105.152	3736.924	1693.581	1953.930	7963.250	2384.426	4190.562	6689.120	9047.773	7153.277	2514.337	7483.841	3879.721	2781.523	2170.624	2695.003	31725.983	2102.776	14744.676	5821.028	16462.451	10646.156	10434.985	4642.622	5687.961	15541.763	2984.016	4838.014	3789.519	1855.839	3443.177	3930.213	2873.303	1295.169	1319.626	2410.986	1986.539	3339.563	3119.187	5404.207	11577.889	11784.590	20237.769	5537.274	33020.100	8455.546	8731.410	13664.623	7400.739	7431.973	933.597
34	15147.559	4817.239	10432.355	6828.498	3922.324	1638.882	1855.576	7702.113	2543.265	3894.448	6172.630	8999.122	6995.490	2619.002	6794.574	3418.983	3111.035	2188.507	2631.888	33191.562	2778.104	15462.081	5337.148	19571.645	11577.626	9562.685	4569.251	6202.347	16871.119	3134.703	4413.304	4223.434	1660.972	3483.413	3834.226	3044.239	1438.492	1225.480	2056.228	1957.086	3521.281	3006.633	5148.329	10123.881	10413.421	19915.095	5793.415	33395.107	9382.808	9061.448	15021.592	7612.700	7494.314	967.156
35	14502.735	5578.562	11260.737	6420.093	3908.649	1679.380	1912.116	9977.928	2616.636	4163.212	6280.188	9258.156	7954.835	2471.471	7063.075	4211.600	2791.253	2442.018	2779.156	33937.895	3360.865	14161.915	5028.937	17916.985	10620.122	10412.369	4763.066	6247.579	16385.398	3131.284	4206.603	3901.022	1677.277	3360.339	3748.495	2816.762	1890.552	1370.644	2164.050	1980.228	3528.908	2947.725	3886.033	9370.185	10403.690	19480.391	4923.220	32467.056	10727.417	9623.433	13778.756	7870.945	7487.730	947.395
36	13368.246	5055.761	9746.244	6259.939	4147.959	1566.826	1667.809	10265.364	2323.678	4397.000	5615.642	8345.095	7318.953	2823.600	7255.312	3938.365	2707.626	2712.360	2845.427	32893.344	3475.260	12129.618	4271.822	18679.622	10292.713	9647.101	4656.296	5925.693	16556.597	3084.474	4098.782	3450.014	1777.471	3509.447	3549.420	2919.850	1542.895	1200.760	2182.195	1803.506	2951.670	3175.465	5205.132	10277.198	9258.156	20162.821	5471.267	31136.911	8640.420	8729.570	10891.778	7794.418	7186.594	913.690
37	14207.937	4699.951	9712.583	6524.232	3626.736	1657.027	1638.619	9318.115	2392.315	4136.651	5349.245	9054.348	8459.491	2691.584	7489.889	3601.753	2603.750	2493.299	3016.626	34634.261	3039.505	13207.304	4078.533	18423.744	10193.308	10604.080	4593.970	5841.803	14988.457	3129.706	4293.912	3461.585	1845.846	2995.062	3184.932	2875.143	1445.330	1339.875	2145.641	2060.436	3162.579	3016.889	5240.372	10670.876	10463.386	19081.979	5407.100	32114.402	9724.680	9831.712	12272.678	7258.205	7294.258	944.333
38	13038.471	5054.972	10144.131	6371.442	3978.864	1730.398	1724.613	8674.081	2559.832	4137.966	5386.062	8340.098	7585.087	2740.235	7254.260	3410.042	2863.572	2373.643	2609.535	32330.307	2468.316	14648.688	5202.766	19605.306	11365.403	10377.130	4759.647	5593.289	16796.696	2931.158	3857.631	3462.637	1792.724	3208.337	3461.848	2827.544	1522.645	1103.721	2399.415	3000.584	3304.324	3011.103	4796.201	10309.544	10327.953	19542.191	5209.603	33535.275	8890.512	9273.935	14038.052	8317.745	7370.183	950.335
39	14225.556	4858.264	9942.426	5399.473	3908.912	1683.325	2245.573	9801.996	2389.159	3835.015	4936.105	8446.868	7303.437	2723.668	6697.535	3538.901	2653.453	2533.797	2672.124	32897.552	2805.454	16287.833	4732.297	20214.101	11029.316	10759.500	4717.833	6036.670	17529.091	3095.256	4569.776	3655.663	1728.294	3340.615	4000.954	2891.185	1645.719	1178.932	2926.161	2575.611	3477.364	2961.926	5263.777	11220.764	12033.105	19634.760	5314.268	35660.403	8167.322	8719.313	14255.273	8665.666	7572.834	992.421
40	15436.046	7212.184	9075.123	5788.156	3840.011	1954.719	2975.338	13377.977	2934.576	4388.584	5342.670	9622.381	8120.248	2961.926	6892.665	3807.402	2656.608	2560.095	2594.282	31871.936	2948.777	15191.739	4580.822	18697.242	11282.301	10654.572	4378.065	6285.711	15056.831	2836.749	4360.446	3082.896	1685.692	3550.998	3616.480	2915.905	1373.536	1133.963	2232.687	2565.355	3339.826	3100.779	4258.673	9210.820	10103.106	17923.296	4903.496	30591.494	9018.846	8395.850	13452.399	8886.568	7404.401	907.483
41	16175.278	7145.650	9068.549	6236.534	3702.474	1787.202	2246.099	10692.704	2569.036	4218.437	6173.419	9550.588	8387.961	2422.820	8073.701	3829.492	3334.830	2451.222	2717.093	30075.004	2267.663	13078.970	4707.051	15597.252	9762.286	10361.614	5420.775	5758.176	14265.266	2913.801	4170.049	3479.994	1871.092	3090.786	3235.687	2841.482	1606.272	1287.542	2638.463	2460.426	2960.874	3286.705	4960.036	9529.550	11349.624	18502.375	4800.935	29190.082	9240.274	8833.972	11190.259	8749.819	7197.447	851.119
