 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
12	22222.506	5698.622	16080.282	5208.310	16856.871	55185.449	35856.959	16833.660	38508.254	19600.440	18696.616	1871.266	20009.654	7942.995	6576.083	13293.728	7946.434	12745.244	14637.429	6148.528	12544.075	3231.588	4960.145	9456.056	4056.894	8351.063	19760.343	48397.309	3867.761	5934.465	9586.156	10700.319	4151.174	7021.977	11464.014	9885.616	11968.654	12217.392	9442.588	9626.849	7117.116	13796.607	1803.191
13	23028.898	5561.931	16615.298	4858.128	16727.344	55437.626	34498.643	18384.833	36746.742	19919.673	16654.270	1542.004	19967.243	7663.882	5914.405	12819.177	8057.621	12660.421	13965.149	7008.795	13091.987	3367.420	4353.775	9068.907	4390.168	8643.932	19144.516	47623.012	3504.971	5822.131	7802.292	10459.032	4466.395	6535.964	15287.071	11348.815	13841.926	14742.025	10802.050	8608.112	7628.061	13867.430	1779.410
14	21756.838	5381.395	15086.189	5117.183	17264.653	55287.180	35250.588	16261.104	37597.552	19349.983	13892.648	1650.898	18899.790	7492.803	6561.754	13446.180	8014.923	11319.585	16049.046	6799.890	12992.262	3593.233	4012.763	9208.751	4141.430	9166.912	19318.461	47826.472	3872.633	5794.048	12398.501	10144.384	5362.768	6745.156	13136.977	10147.823	13992.086	13847.657	10561.622	8846.247	7685.947	13787.227	1771.811
15	21030.970	5694.037	16250.787	5410.625	18080.215	56503.360	36735.279	17021.933	36584.260	22140.261	14732.282	1802.777	20255.527	7820.632	6812.785	13909.269	7638.664	11078.298	13116.058	6564.907	11935.699	3191.183	4223.674	8506.668	4580.161	9007.296	19554.876	48449.464	3766.318	6247.393	9143.701	10743.304	5579.411	6817.657	18015.452	13591.469	14804.210	17903.405	12256.365	10091.370	7802.006	14277.903	1807.435
16	21165.369	5850.788	14742.312	5579.125	15878.540	55682.066	35993.077	16555.406	37751.437	19942.598	13789.485	1327.940	18955.670	7716.036	7491.656	13725.008	7683.081	10778.551	13212.344	6976.986	11925.956	3223.564	3602.976	9185.826	4344.891	9361.776	19702.744	48844.063	3549.102	5653.058	8721.305	10507.461	7028.568	8715.000	15971.674	12829.780	14504.463	16608.420	10637.275	8063.926	7747.845	13939.687	1791.230
17	21114.361	6299.261	15283.059	4851.537	16315.551	54953.045	37925.668	18416.642	38723.464	18919.849	13648.208	1649.752	19455.438	8110.063	6215.871	14144.538	7232.602	9606.216	12461.258	6938.300	11929.968	3594.952	4067.783	8522.142	4357.787	10470.781	20563.010	47408.088	3581.197	5734.729	8147.889	10614.350	6341.386	9238.840	13848.230	13126.948	13910.702	14266.042	8913.589	8298.335	7666.174	13826.039	1793.646
18	22864.697	5236.107	15451.846	5471.950	16061.941	55826.781	37467.451	17484.448	38155.779	19092.934	14900.495	1522.804	19756.618	7721.194	6105.544	14614.504	7565.303	10281.648	13445.034	7079.290	11592.968	3740.813	3323.862	9361.490	3832.227	8813.005	19507.307	48518.239	3647.393	5515.507	8516.984	10155.847	5769.977	8847.106	14831.433	13913.281	15141.783	15583.952	10606.899	8897.542	6570.065	13970.587	1819.589
19	21220.103	5675.697	15415.452	5802.358	17064.631	54810.909	36392.835	18414.063	36368.763	19807.913	14212.167	1428.238	19390.961	7558.426	5896.065	13766.273	7242.345	10693.728	14184.371	6123.311	11656.012	3597.531	3557.412	8544.781	4323.112	8501.223	19841.154	47594.642	3437.915	5775.135	9028.215	10893.750	4624.005	7050.920	16260.531	13342.158	13721.856	17877.614	11982.122	9254.028	7647.834	13901.965	1777.263
20	21199.757	5523.531	15178.463	6018.428	16402.380	55590.078	37588.095	17115.639	37097.210	18346.720	13432.999	1754.348	19403.284	7399.669	5814.967	13897.806	7240.053	10044.660	13101.730	6864.653	11473.757	3261.104	3356.817	8270.539	3799.272	9353.753	19200.396	48510.502	3696.969	5619.244	8492.913	9838.906	4834.057	6443.690	14423.365	13219.795	11796.142	14936.316	9067.475	8861.435	5971.145	13498.587	1814.395
21	21501.796	5551.328	15533.516	5330.387	15085.043	55634.782	34014.922	16765.744	36651.029	16948.285	12746.390	1505.323	19629.383	7809.170	5354.172	13007.737	7186.465	10063.000	11979.830	6277.196	12006.480	3270.847	3234.454	8505.808	4323.685	8816.731	19742.576	48495.027	3361.688	5259.032	7976.523	10178.485	4424.270	6828.833	12997.707	11872.655	13211.771	14662.074	9699.063	9055.439	6259.142	13237.995	1788.436
