 	0034-0068	0036-0061	0052-0084	0061-0080	0083-0076	0085-0067	0095-0048	0091-0040	0094-0029	0084-0033	0078-0027	0072-0023	0067-0021	0060-0019	0051-0020	0051-0027	0042-0030	0032-0029	0038-0038	0048-0038	0036-0046	0028-0045	0034-0077	0021-0058	0058-0031	0053-0035	0044-0046	0043-0055	0034-0053	0054-0046	0050-0053	0049-0077	0042-0080	0041-0071	0096-0058	0094-0066	0044-0156	0035-0165	0029-0172	0031-0182	0051-0151	0056-0146	0077-0212	0068-0202	0085-0205	0094-0210	0085-0215	0082-0222	0074-0225	0069-0232	0071-0238	0080-0232	0089-0230	0096-0226	0059-0202	0062-0192	0060-0209	0068-0212	0093-0200	0057-0156	0061-0164	0066-0174	Average	Err
31	6297.545	12266.630	8357.192	6846.644	4028.830	5241.160	12217.190	9211.083	10226.443	6747.501	6694.379	3375.854	5830.758	11324.904	6210.236	7078.591	10460.494	18143.146	9419.362	9236.066	6303.593	13064.506	4764.381	9394.116	8778.221	3866.046	9652.624	7785.477	4773.585	10785.535	8052.137	4134.547	6409.048	4669.708	6139.758	1775.105	21261.807	8420.570	6614.171	5469.689	17440.994	10216.187	7538.803	5600.389	6855.322	10599.083	8524.709	9119.830	3077.374	6011.424	8343.254	5288.497	5026.307	11188.681	3165.472	7117.249	4815.661	6947.102	4091.156	19859.869	9820.667	8586.509	8073.600	489.422
32	5979.604	11142.397	8440.030	7182.467	3610.694	4718.885	13151.815	9607.918	10490.999	6665.978	6280.977	2917.746	5464.692	9998.704	5615.905	5861.527	8973.614	17429.948	9094.058	7915.651	5675.338	10282.983	5146.751	10065.237	7306.856	2830.700	7125.664	6297.545	4241.053	10375.026	7002.853	4100.360	6285.448	4293.123	6412.992	1410.616	17793.385	7364.185	5915.437	4097.730	17853.081	9477.480	6920.541	5738.979	6204.188	11036.942	9334.946	8446.342	3158.371	6558.945	8603.077	5211.970	4866.416	10993.814	3207.811	7768.120	4230.271	5199.610	5441.813	12694.233	6466.903	7541.696	7443.910	432.883
33	5943.050	10317.170	9145.338	7590.610	4248.680	5124.135	13945.484	9140.605	10536.757	7059.130	7143.810	2775.738	7533.807	8872.630	5248.787	6542.641	10102.843	17812.319	10250.374	7813.353	6928.167	9534.021	4537.167	10566.211	10406.846	4331.255	8144.705	7164.322	4429.609	9772.805	7229.278	3812.399	5907.811	4005.688	6349.615	2135.911	15950.958	8697.223	6449.809	2946.673	15953.850	10184.892	6975.766	5654.037	5863.104	10907.031	8065.549	8410.314	2761.011	5506.243	7598.499	5470.215	5006.321	10912.817	3787.942	7407.840	6163.952	5861.527	4318.369	11835.345	8388.224	10517.297	7645.127	409.780
34	5934.372	9811.989	9743.351	7562.734	3788.468	5222.752	13036.894	8831.605	10300.866	7098.051	6853.218	2475.416	6916.596	7667.400	6048.767	6840.595	10157.805	18403.758	9774.383	8131.820	6290.181	10234.858	4461.955	8843.965	8500.252	3886.033	6843.751	6076.906	4004.636	9581.620	6894.769	4362.023	6401.158	4381.221	6601.022	1833.486	14798.060	7227.174	7096.210	3713.256	11254.426	7727.622	6337.518	7557.738	4858.001	10043.673	8064.497	9102.736	2420.717	4684.961	6231.800	5089.685	5175.153	10586.460	4975.289	8888.409	5840.751	6951.309	3705.366	7687.649	6661.244	8726.151	7245.234	367.505
35	6455.595	10036.309	8972.036	7324.739	3357.709	4657.348	12584.308	9021.739	10711.638	6434.820	6484.260	3536.534	6482.682	7682.389	5684.016	6537.644	10337.157	18919.195	9834.868	8361.137	6364.604	9572.941	4477.208	8980.451	7671.344	3592.023	7046.245	5583.295	3880.773	8913.654	6425.615	3841.852	6655.722	4376.224	5255.624	1366.436	16702.024	7457.017	6340.147	4808.298	11642.056	9691.019	6542.904	7507.772	4921.379	8122.615	7052.819	7786.792	2674.491	4873.254	7140.917	5172.786	4717.307	10347.676	4481.942	8032.151	6135.550	8036.358	3642.251	14389.392	6671.500	9244.744	7283.150	398.310
36	6277.033	11336.475	8944.160	6884.250	3966.241	5631.946	12930.124	9083.802	10548.854	6791.418	6477.159	3368.228	6350.667	8195.986	5753.179	7048.874	9004.382	17552.496	8842.650	8797.944	6181.834	8762.705	4618.690	10436.563	9337.050	3828.440	7680.811	7317.375	4155.848	9180.578	7161.955	3949.410	5737.664	4492.198	6274.666	1798.773	15691.135	7563.523	5412.885	3268.296	13595.723	13670.672	6568.413	6521.603	5590.396	8313.538	7508.824	7611.122	2620.054	5404.470	7162.744	6160.533	4689.169	10223.813	4233.427	7516.713	5104.149	7671.081	4261.829	10496.522	6694.905	8088.428	7360.393	384.522
37	6377.227	10016.323	9585.564	8036.884	4641.833	6171.052	12906.982	9430.670	10241.959	6496.620	6408.259	2915.379	5431.294	6917.911	5885.458	6562.364	10721.631	17706.339	9357.299	8866.581	5788.682	8206.242	4534.274	10605.658	8704.850	3284.601	7472.270	7948.524	4607.908	10178.055	8234.644	4400.418	5961.458	4495.617	7014.424	1835.590	14486.694	7242.426	5855.215	2799.932	10820.774	10478.113	7588.506	6723.570	5251.680	8744.296	6792.996	7582.721	2554.310	4036.193	5710.051	5340.040	4840.118	9317.589	4221.593	7533.018	5358.975	10736.621	4488.253	9198.986	7168.792	8742.193	7283.298	366.747
38	7290.289	10075.230	9348.095	7290.026	4446.177	6030.622	13251.747	9352.040	10182.000	6489.782	6224.174	2771.530	6333.573	7521.447	5910.704	6524.495	9667.877	17134.361	9107.207	7789.159	6502.405	7566.416	4898.763	9192.149	8331.420	2751.543	6524.495	6100.048	4154.271	8885.779	6144.754	4136.914	6218.388	4409.360	7301.860	2796.513	19564.808	7880.412	5910.967	2904.071	10307.703	8729.044	7273.984	7726.570	5442.076	8261.994	7976.136	8693.541	2684.747	4434.606	5955.673	5296.649	5112.564	9357.562	3791.097	7537.488	5292.967	7822.557	4124.028	11818.251	10851.806	7956.676	7280.058	389.531
39	7372.075	9658.935	8947.053	7592.714	3974.919	6135.813	13377.714	9149.546	9964.253	7045.719	7282.925	3200.711	6216.285	6924.485	5761.332	5955.936	8609.651	17095.703	9438.033	8347.199	5831.810	12358.146	4206.866	9026.472	7322.372	2816.236	7534.333	5467.585	4209.759	10248.533	7979.292	4047.238	6159.481	4076.955	6408.785	2770.478	17144.880	7060.971	3841.852	2329.726	11969.464	9803.837	6677.286	6542.378	4620.531	7464.643	7956.413	7877.519	2682.117	4648.144	6225.489	4865.364	4564.517	9355.721	4099.834	7621.641	5746.342	5621.690	3317.999	12183.791	8871.052	7375.494	7144.904	393.127
40	6313.850	10427.621	9127.982	7076.487	4233.690	5199.347	12936.962	9367.818	10016.323	6952.887	7264.780	2943.518	6668.344	11094.798	6389.061	8127.612	10099.424	18525.517	9958.994	9028.050	6012.213	11466.912	4156.111	8384.805	8240.430	4229.219	8029.258	6825.869	4383.062	11389.071	7273.721	4308.639	6116.090	4459.589	5627.213	1345.661	15865.490	7971.140	3837.119	3336.408	11565.003	8331.683	6561.049	11688.077	4150.852	8006.905	6619.168	7969.299	2703.944	3957.563	5252.206	4945.573	4781.737	9322.586	4341.511	8377.704	5975.659	6589.188	4007.266	13823.988	12904.615	10710.323	7541.887	421.559
