 	0034-0068	0036-0061	0052-0084	0061-0080	0083-0076	0085-0067	0095-0048	0091-0040	0094-0029	0084-0033	0078-0027	0072-0023	0067-0021	0060-0019	0051-0020	0051-0027	0042-0030	0032-0029	0038-0038	0048-0038	0036-0046	0028-0045	0034-0077	0021-0058	0058-0031	0053-0035	0044-0046	0043-0055	0034-0053	0054-0046	0050-0053	0049-0077	0042-0080	0041-0071	0096-0058	0094-0066	0044-0156	0035-0165	0029-0172	0031-0182	0051-0151	0056-0146	0077-0212	0068-0202	0085-0205	0094-0210	0085-0215	0082-0222	0074-0225	0069-0232	0071-0238	0080-0232	0089-0230	0096-0226	0059-0202	0062-0192	0060-0209	0068-0212	0093-0200	0057-0156	0061-0164	0066-0174	Average	Err
14	22669.268	19076.457	13314.073	7568.520	3825.022	8510.508	11430.621	12733.942	14426.472	7093.581	6351.718	3610.957	7337.888	7276.614	6088.740	9479.584	9563.474	18552.078	9241.589	9783.324	11382.496	15691.924	5445.495	14397.281	15386.606	5583.295	9436.456	7971.929	5903.077	12676.613	9887.990	5210.655	7088.321	6530.544	6937.634	3118.661	46700.239	9564.000	3035.034	4401.733	10762.656	9787.795	5238.531	6090.318	5471.004	8330.368	6822.187	9398.850	2673.965	4722.567	7057.816	4260.251	6170.263	11202.093	4059.072	9076.175	5041.823	7776.799	4520.337	14559.539	6240.742	8618.856	9228.491	803.461
15	23475.560	15500.739	14753.617	8074.227	2968.501	6045.612	12008.385	14829.355	17187.482	7473.584	7074.120	3055.810	6053.501	7462.276	5684.805	9344.676	10603.817	18621.504	10627.485	9953.997	24387.306	17699.764	5314.268	10980.928	12294.242	4239.213	9704.694	8135.764	10350.832	12812.047	12181.688	5229.326	7488.574	6817.716	6491.360	1761.956	39024.161	9062.500	2627.944	4225.275	10260.630	8304.596	5787.893	5663.767	5121.242	10076.282	6003.272	10251.426	2839.641	5248.261	5317.424	4581.611	5862.053	10426.306	3264.088	7225.596	5011.317	5463.903	3795.831	13017.696	7418.359	9376.234	9224.936	772.449
16	22053.899	20789.761	12327.904	7835.443	3600.175	6036.144	12455.448	12803.369	15102.326	7260.046	6842.962	2837.011	5352.926	8531.021	6239.164	10475.746	12199.044	20334.019	11956.052	12784.960	20666.161	16581.054	5320.054	11724.368	13831.877	5748.446	11616.284	8692.227	8504.723	14628.439	12633.485	5192.509	7611.648	6602.074	7610.333	2077.530	42990.928	7060.708	2735.765	3069.747	10332.423	8876.049	5396.581	6953.150	5229.589	10502.833	6168.422	8879.730	2698.422	4886.140	4413.041	4049.868	6025.362	10261.419	3083.948	7065.705	4414.356	5051.027	4716.255	18660.162	7835.443	6330.417	9428.163	822.502
17	17354.211	18133.153	14751.513	7902.765	4373.858	7226.648	12317.910	11310.440	15754.250	7353.403	6940.527	2582.185	5043.664	7853.062	6199.191	10496.522	12128.040	19593.998	11186.840	10945.689	13058.721	15507.576	5391.584	10845.231	12949.322	5938.842	9629.219	7265.832	6675.708	13153.130	9436.719	4914.804	7593.503	6244.423	7310.538	2825.703	32776.056	8195.197	3482.624	3255.936	10204.879	8818.982	5673.760	5515.973	5215.126	9578.464	6395.899	8799.259	2802.035	4584.766	4400.681	4531.119	5830.758	10233.806	2892.237	6189.198	4745.709	5100.204	3547.579	9894.564	8196.249	9292.080	8682.933	637.693
18	22689.517	21960.278	12937.225	7132.238	3665.394	5710.051	11620.755	11011.171	14951.114	8028.469	6840.069	3003.477	4970.819	8240.956	16857.970	13380.080	11803.262	19745.211	11001.440	9362.296	10932.277	15606.456	5423.667	13751.143	13385.603	5258.254	10041.832	8864.215	6760.124	12434.673	8650.413	4925.060	7284.503	6978.396	6911.074	2158.527	25212.533	10372.922	3174.150	4075.377	11740.410	9279.457	5681.649	6021.943	4943.995	8379.019	6017.473	8250.423	2688.166	4066.962	4228.693	4141.122	5853.111	10096.532	3557.309	6330.680	5058.653	6765.909	4211.337	13477.908	7764.965	10634.322	8972.629	632.601
19	19644.227	17277.158	12990.872	7852.273	4157.163	4884.825	11790.902	10078.386	13823.725	7288.448	7077.276	2515.389	4715.730	7857.007	11254.952	10976.720	9897.457	17703.183	9941.637	10086.538	8914.443	20821.319	5509.661	11832.978	11475.853	5777.899	7376.019	7003.905	5524.914	11749.614	8209.661	5027.359	6942.368	6563.942	6739.875	2425.976	46516.417	8896.561	3398.470	3802.405	11616.021	10763.445	5212.496	6036.144	4731.245	8755.078	5755.546	8866.318	2904.334	3758.751	4058.809	4290.756	5786.841	10584.882	4718.096	6255.205	5377.383	6196.824	4007.529	23889.488	8930.485	11246.273	9033.314	831.161
20	16271.791	13221.504	12729.998	7183.256	4278.133	5708.473	12354.464	10524.134	13794.008	7122.508	6613.382	2642.670	4415.408	9896.142	9709.427	10301.129	10097.583	18852.925	9477.480	9724.154	8193.356	15828.410	5213.285	10618.544	10120.989	5440.235	7427.826	6604.704	5104.149	10269.571	6984.708	4612.642	6629.950	5414.200	6370.127	2027.301	52096.293	12834.926	3371.121	4243.157	17890.687	13194.155	5137.810	6465.851	4320.473	7984.552	5768.695	10866.269	2928.791	6621.008	4507.977	4886.140	6187.620	10424.992	5586.188	5884.932	5793.152	7596.132	4292.071	26679.163	8516.031	9361.244	9116.419	893.573
21	14714.170	11965.519	12120.151	7439.660	3950.988	5304.012	12317.384	10991.447	13851.864	7604.285	7187.464	2585.078	4652.352	8429.511	7370.760	9285.769	9196.093	20003.456	9406.213	10123.092	7902.765	15920.189	5196.980	10270.886	12726.842	5488.360	7852.799	5924.641	4773.585	10555.429	7075.698	4557.154	6478.211	4918.749	6885.039	2069.640	45325.650	10031.313	2698.685	4296.016	13540.497	11440.877	5562.783	6275.455	5224.856	8786.899	6315.164	9813.830	3097.886	6234.430	4266.562	4711.785	6210.762	10216.713	4572.669	6044.560	5849.167	7967.984	4222.119	16117.160	6552.371	6450.598	8531.017	756.211
22	11470.331	12616.654	10338.209	7069.913	4228.693	5868.890	11722.264	10157.017	13808.998	6986.285	6316.479	2500.399	4701.529	7967.195	7008.902	7161.429	9539.280	18137.886	9547.170	8604.392	7378.386	17089.128	5022.099	10058.926	8024.524	4178.465	7234.011	6338.044	4591.078	9851.173	7809.145	4421.983	6532.122	4923.745	6773.536	1735.921	32024.463	7559.052	2773.108	6141.862	12728.157	11989.976	5036.300	5288.234	5181.990	8310.119	6936.057	11033.524	2984.805	6034.566	4969.767	4395.685	6307.538	10370.292	4911.122	5837.596	4729.404	6799.045	3758.225	10266.153	7465.958	9624.222	7922.120	570.754
23	13011.911	11290.980	10311.911	6994.175	5654.300	5433.398	12635.588	9972.669	13006.388	7550.374	6795.100	2430.447	4656.033	7553.530	5922.275	7779.691	9566.893	18051.104	9459.598	8169.425	6505.035	13464.759	4908.493	9673.136	8385.857	4516.655	7014.687	5683.753	4371.491	9234.225	6015.106	4226.853	5797.623	4132.706	6541.063	1991.799	23703.036	6773.536	2703.155	6689.120	14268.685	14027.533	5664.819	4896.922	5930.690	7734.985	6464.799	11400.642	2738.395	5497.827	4373.595	4476.945	6458.751	10925.177	4989.490	5619.060	5444.180	5667.711	3564.410	10153.598	6346.985	5457.855	7591.628	489.226
