 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
16	13274.528	9020.191	25091.589	9219.640	21062.779	13326.397	20462.713	8654.535	7174.143	14219.618	13999.537	1243.117	7448.672	6525.934	8139.579	8530.166	5643.029	5721.547	7220.566	6997.046	14371.211	2215.144	4268.379	5286.542	3508.983	3092.604	5293.133	5247.283	3943.128	2743.282	3540.791	3821.624	2569.624	3333.032	16101.487	14241.684	17360.365	13077.945	7918.924	7428.899	7647.834	8780.176	877.398
17	13183.687	7758.161	22541.452	17216.223	23893.463	16609.566	20349.233	9395.018	8349.917	10758.492	13274.528	1252.860	9179.235	6398.699	10311.451	7851.295	7561.291	7971.938	6601.873	11547.691	12764.443	2623.785	4526.287	5476.535	3768.897	3073.978	5069.040	5099.989	3850.854	3176.568	4156.045	4325.691	2420.037	3355.384	16492.075	12460.112	20166.692	12345.773	7286.476	8351.350	8106.051	9290.296	896.688
18	11367.441	6439.964	19700.451	11905.036	16415.562	14721.679	19805.620	7777.361	7864.477	9562.945	11758.029	1291.260	8223.829	6003.240	7529.196	5798.633	10942.466	10528.381	6676.094	12747.250	12741.518	2230.332	5408.619	5784.878	3630.772	3119.255	5886.608	5651.912	3399.515	3206.944	4224.534	7886.542	2320.886	3453.962	17586.465	11870.076	12547.801	17139.137	17086.696	14312.465	7925.228	9133.489	788.005
19	12546.941	7425.173	23087.071	9808.817	16300.936	18496.307	18982.894	7448.098	5114.030	6827.686	8181.417	1859.231	8044.439	5970.285	5727.279	5308.035	8641.067	8113.501	6141.937	10450.722	14096.682	2193.651	4906.558	5193.409	3773.768	2692.274	5189.970	4620.853	2911.209	2690.841	3643.095	4543.194	2233.197	3560.564	11470.891	11710.746	21859.715	10047.812	7186.752	7139.468	6912.223	8123.237	824.046
20	23951.636	6698.446	36078.760	8774.033	13351.328	14307.307	18519.232	6877.549	8261.942	6486.961	9147.999	1811.947	8144.164	6557.743	6213.292	5031.500	6574.363	6722.231	5941.342	7391.359	13042.984	2248.958	4101.598	5341.563	3795.834	2586.818	5191.689	5264.190	2596.561	2457.577	3382.034	4255.770	2182.475	3045.321	9742.047	12121.966	18639.016	11741.122	7857.886	7054.359	6197.817	8285.139	1015.834
21	42571.452	5875.719	40451.161	8018.075	14856.078	12775.046	19326.771	7115.970	6721.084	5900.650	13034.674	3666.593	8333.296	5692.031	7475.322	4578.441	6090.642	6711.914	5516.940	7798.280	11500.121	2578.221	4681.605	5195.988	3099.768	2826.959	5785.738	5077.064	3502.678	2187.634	2899.746	5340.990	2083.038	3076.557	11956.045	12538.631	16831.940	10052.110	9960.983	7191.910	6262.008	8954.631	1311.293
22	27396.715	5827.863	30760.122	7299.945	15501.994	12191.314	18936.470	7369.293	7432.624	6812.785	12683.632	2944.737	7941.276	6358.294	8922.473	4684.184	5800.352	6895.316	6194.665	8904.706	15314.868	2566.472	5556.200	5810.382	3694.963	3232.734	5681.715	5132.084	3149.917	2539.535	3735.082	5170.770	2191.932	2745.288	17752.099	12226.848	12912.024	16606.127	11929.108	9088.394	10754.193	8991.451	991.284
23	19419.045	5997.509	31956.529	7808.310	11325.603	10650.744	22386.420	9563.231	10807.494	9455.483	17041.419	4076.094	7838.399	5606.921	8897.255	4745.222	6189.221	6693.288	7965.061	11202.094	21910.437	2460.156	5052.706	5621.823	4124.237	3276.865	6115.860	4855.836	3372.005	3167.684	3639.656	5108.299	2385.077	2969.668	19077.746	15511.164	22256.320	18098.555	11383.202	10389.110	11080.590	9792.252	1055.556
24	22964.994	4993.387	30991.953	7895.426	15073.007	13924.743	17332.569	8191.160	8341.893	5716.389	9275.807	2336.361	10649.597	5440.427	6865.226	4843.514	5628.127	7099.063	9851.229	8517.271	21126.969	2636.107	4864.719	6519.056	4084.691	3734.222	6680.965	5346.434	4219.663	2937.000	3938.256	4265.226	3142.180	8032.690	13059.605	14421.073	15059.539	12749.542	7281.604	9011.595	7483.919	8939.688	932.621
25	18447.304	12638.355	30317.667	7464.433	12343.480	15456.717	22397.883	7789.970	10299.702	6898.181	9139.116	1565.502	8937.088	5967.133	7088.173	5999.228	6109.842	9797.641	27722.252	9546.037	20071.266	3658.856	6677.813	5251.008	4357.787	3671.465	7823.211	13818.141	4407.935	4635.181	5669.679	5310.041	3654.844	6764.642	14947.779	11797.575	12176.986	16669.458	9454.910	12148.903	9587.589	10206.848	988.503
26	15849.311	12460.399	27142.245	6988.162	12702.832	14173.195	22186.398	7061.810	9927.455	8605.246	7981.682	1347.426	8342.180	6400.992	8348.484	5097.410	6272.324	7692.825	17560.387	10323.773	15213.710	2871.377	5868.268	5932.745	3662.008	3254.513	7062.669	10534.685	3708.718	4965.017	6248.826	5729.571	2866.791	5499.173	16455.968	10136.360	11223.873	17751.812	9695.911	10548.727	10434.387	9417.796	841.179
27	15463.881	15024.864	28164.134	7007.362	13361.644	17296.461	18191.976	6223.895	4995.966	7564.444	6537.110	1258.591	7788.537	5548.462	7730.938	5389.706	6206.701	7065.821	10953.069	9354.039	17324.258	2471.906	5067.607	5171.916	3819.905	3455.108	5364.774	6932.569	4515.970	3112.664	5188.824	7277.593	3720.754	5043.249	11008.663	10591.425	12444.637	14324.787	11183.754	10034.630	7703.141	8704.530	823.717
28	12575.024	13180.822	24624.203	6714.207	13429.273	20841.265	17219.949	7269.855	3793.255	9222.793	7195.062	1162.592	7976.810	5842.477	6146.522	5322.076	9347.448	9351.460	8062.779	8866.020	15665.623	2107.969	5102.568	5565.656	3520.732	3046.467	5473.096	6065.425	4232.845	2722.076	3683.214	8036.129	2943.304	4607.384	12990.256	13137.264	13452.198	14517.645	13948.528	10150.402	7369.580	8694.689	807.595
29	17093.574	7137.749	23775.112	7130.298	12075.256	13945.949	13643.337	4607.098	3079.995	6633.396	5916.984	1446.864	8157.919	5653.631	5047.834	4985.363	6356.288	8799.823	6828.546	16856.012	17664.124	2485.947	5296.572	5463.353	3801.852	2321.459	5253.301	5122.627	2946.456	3859.451	3060.223	5826.430	2715.772	4844.660	7439.502	8313.810	10139.512	9278.100	6048.517	6162.570	5596.032	7385.641	741.896
30	12323.421	8160.211	22417.943	7173.570	13040.405	14604.188	16623.608	5183.952	3615.298	8436.746	6972.115	1991.337	8118.086	6078.033	5520.952	4246.313	5843.337	8504.089	6631.390	15762.768	14514.493	2300.253	6369.183	4987.655	3824.490	2449.840	5310.327	5183.379	3361.402	4195.018	4341.166	8546.214	2429.781	4978.199	15166.141	16139.027	11287.490	19526.793	9248.870	9675.278	9857.820	8413.185	782.068
31	11704.155	10166.450	22735.743	7428.326	12377.008	16255.086	19148.814	8644.505	5190.543	6720.798	8774.033	2422.616	8091.722	5750.490	5259.892	4352.342	6156.839	10271.332	7637.231	13144.715	13140.130	3114.097	8092.296	4959.286	3310.393	2582.233	5350.446	4918.307	3422.727	2693.133	4317.095	8268.533	2603.439	5053.852	16259.384	16322.429	13452.198	21583.467	12554.965	11688.967	12707.131	8990.906	825.713
32	10641.574	8185.716	21366.537	7060.663	10317.182	13665.116	15182.475	7499.967	4715.133	6770.373	7530.916	1952.078	7344.362	5621.536	4746.941	4385.583	6089.496	9116.477	7859.605	11343.083	14489.562	3162.239	6994.180	4862.713	3554.546	2172.732	5043.536	4924.898	3091.458	2745.002	3875.499	7192.769	2501.422	4024.226	12224.842	12732.348	13750.225	14746.324	10566.780	9783.599	6290.951	7807.919	674.375
