 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
19	17446.048	5164.752	13441.595	5288.835	14643.160	51503.382	28569.623	15371.607	22493.596	20618.317	15720.643	2178.463	19110.128	7293.640	6199.250	15290.510	8237.297	11993.298	13811.550	8090.863	13129.240	3358.250	3765.171	9363.209	4548.066	10991.755	23515.485	54792.283	3728.778	5996.649	8840.229	12019.662	4753.246	6800.463	13256.188	10358.161	15142.642	14745.464	10158.712	10497.432	6737.418	13389.392	1683.182
20	17196.164	5172.490	14037.077	5767.684	13737.330	50922.802	29682.353	14737.727	22579.278	19631.962	20305.102	2364.730	17728.314	7689.099	6851.471	14983.026	7767.904	12671.597	13215.209	8042.433	12296.770	3226.430	3775.774	9813.975	3929.373	9804.805	21979.499	54300.251	3966.340	6401.565	8571.718	12201.631	4701.664	6666.924	13311.782	11752.298	16768.036	14083.500	11298.953	9886.189	6836.856	13430.685	1669.143
21	16108.938	4748.374	13290.289	5502.612	13929.042	51151.481	26581.152	14465.490	22068.907	18402.887	18841.331	2232.338	17257.775	7299.085	7540.945	14941.474	7775.069	11639.105	12681.340	7862.184	12773.614	3168.830	3988.978	10068.158	4178.970	10082.200	22857.532	55616.442	3890.687	6028.171	8533.605	11242.786	4229.406	7051.207	11539.953	10588.273	13180.822	11352.540	9517.381	11043.050	5515.794	12945.566	1674.604
22	16450.523	5020.037	13662.537	4613.689	13674.572	52522.405	26406.921	14121.613	23457.885	18391.424	20113.391	1948.925	17983.357	7925.515	6937.727	15614.041	7613.733	12325.427	14623.388	7104.508	13337.286	3096.330	3484.625	10236.944	4444.616	10403.438	23210.867	55107.217	4489.320	6447.988	11234.189	12922.914	3936.250	6927.411	11723.355	10350.424	12653.543	12449.796	10312.597	11639.964	5461.920	13277.625	1694.189
23	16602.116	6006.679	15418.604	5689.165	15079.598	51075.541	26107.174	13587.743	22007.009	18056.144	20976.810	2068.423	17593.056	7875.080	7242.918	14608.200	7209.104	12671.310	12791.381	7378.177	12867.607	3406.679	3782.938	10945.045	4626.584	9561.225	23823.828	54648.714	4226.254	6618.781	9114.185	12040.295	4586.752	8009.192	12553.532	10073.889	13580.866	12427.444	10752.187	10338.961	5595.745	13259.145	1654.869
24	15753.885	5701.201	15368.169	5160.740	14408.464	51919.760	25927.212	13851.669	21915.308	17318.240	20287.335	1999.361	17268.378	8334.443	7767.904	14234.806	7669.613	12348.352	12797.112	6685.264	12710.569	3254.800	3791.535	9994.224	4977.339	9869.569	23463.330	53883.300	3724.479	5687.446	9195.855	12091.303	4483.015	7143.480	11246.225	10535.258	12883.941	12010.206	8818.450	9468.665	5534.707	12963.047	1658.495
25	16782.365	5358.757	15184.767	5477.108	14521.084	52714.977	26642.477	16032.998	21207.781	19372.048	22706.800	2094.787	18311.473	7661.302	7534.928	14241.684	7440.075	11802.733	13238.421	8186.002	11952.606	3289.188	3576.612	10512.046	4347.470	10022.881	21925.625	53798.477	4831.764	6110.988	9806.238	12253.212	4253.477	7079.577	14578.110	11150.512	12191.314	17666.416	11286.057	10586.267	7255.241	13536.260	1669.778
26	16456.827	4853.543	14510.768	5384.261	15690.267	51993.980	27632.844	15244.373	21177.405	19538.542	21975.487	2075.014	18075.057	8065.358	6945.178	14653.763	8040.141	11768.345	13406.921	8188.581	13261.633	3049.906	4251.471	10438.972	5003.417	10248.980	23994.907	55602.687	3927.653	6245.674	10168.455	12051.758	4513.105	7779.080	15722.362	12587.060	13647.062	14145.684	11197.509	10947.911	6827.400	13689.984	1688.932
27	15272.743	5084.514	14784.437	4649.509	14431.103	51573.017	28274.175	16048.759	20814.327	19547.999	21284.007	1961.534	17707.395	7918.637	6349.124	14916.830	7067.827	11663.749	15072.148	7632.359	12554.678	3276.292	3969.778	9370.087	4734.046	9336.272	22979.036	54921.523	3976.083	6054.535	9022.197	12112.223	4452.353	6766.075	13724.721	11479.775	13733.032	14753.774	11302.105	10208.288	7142.907	13363.999	1683.820
28	15115.132	4870.451	14111.010	4820.015	13643.910	51683.344	26937.065	14023.895	20053.499	19157.698	17643.491	2783.688	17628.303	8256.210	6300.408	15360.431	7455.549	13125.228	14293.838	7445.519	12580.756	3449.664	4514.251	11014.107	4518.263	10082.486	22931.466	55503.536	4373.261	6633.396	10279.069	12325.713	4239.149	6981.285	13132.106	10395.128	12728.050	15287.358	11679.510	10437.253	7390.212	13297.188	1661.245
